title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date
2 BHK  House for Sale in Kesnand Road Pune,₹83 Lac,1600 sqft,https://www.magicbricks.com/prayag-dham-kesnand-road-pune-pdpid-4d4235303035353332,1,3,2025-08-10 18:04:46.310921,,
2 BHK Apartment for Sale in Loni Kalbhor Pune,₹50 Lac,820 sqft,https://www.magicbricks.com/tara-city-loni-kalbhor-pune-pdpid-4d4235303138333234,1,5,2025-08-10 18:04:46.311938,,
2 BHK Apartment for Sale in Moshi Pune,₹47.1 Lac,650 sqft,https://www.magicbricks.com/11k-county-moshi-pune-pdpid-4d4235303233363335,1,8,2025-08-10 18:04:46.313588,"18+ PhotosUpdated 15 hours ago Owner: Shailesh Jorvekar2 BHK Apartment for Sale in Moshi Pune11K CountyCarpet Area650 sqftStatusReady to MoveFloor2 out of 8TransactionResaleFurnishingSemi-FurnishedSociety11K CountyBathroom2Balcony2A 2 BHK flat is available for sale in Moshi, Pune. The flat has a prime location within 11k County. This is one of the best properties available for resale. Located in Moshi, this ready to move apartment is sold at price of INR 47.1 Lac. You will find it semi-furnished.Read more₹47.1 Lac ₹5,643 per sqft Contact Owner Get Phone No. ",2025-08-10 03:04:46.313563
2 BHK Apartment for Sale in Hadapsar Pune,₹55 Lac,1100 sqft,https://www.magicbricks.com/kohinoor-ambrosia-flat-hadapsar-pune-pdpid-4d4235333634323537,1,9,2025-08-10 18:04:46.314317,"5+ PhotosUpdated 15 hours ago Owner: Malik2 BHK Apartment for Sale in Hadapsar PuneKohinoor Ambrosia FlatSuper Area1100 sqftStatusReady to MoveFloor8 out of 8TransactionResaleFurnishingUnfurnishedfacingWestoverlookingGarden/Park, Main RoadSocietyKohinoor Ambrosia FlatBathroom2Balcony2The 2 BHK apartment is located in a well-connected area of Hadapsar. The property is in a strategic location within Kohinoor Ambrosia Flat. This flat for resale is the perfect property for you. You can buy this ready to move flat in Hadapsar at price of INR 55 Lac. It is an unfurnished apartment with all basic amenities.Read more₹55 Lac ₹5,000 per sqft Contact Owner Get Phone No. ",2025-08-10 03:04:46.314281
2 BHK Apartment for Sale in NIBM Annexe Area Pune,₹62 Lac,900 sqft,https://www.magicbricks.com/vasupujya-neco-beaumont-nibm-annexe-pune-pdpid-4d4235313933313637,1,10,2025-08-10 18:04:46.315072,"11+ PhotosUpdated 15 hours ago Owner: Nileshkumar2 BHK Apartment for Sale in NIBM Annexe Area PuneVasupujya Neco BeaumontSuper Area900 sqftStatusReady to MoveFloor1 out of 1TransactionResaleFurnishingSemi-FurnishedfacingEastoverlookingGarden/ParkSocietyVasupujya Neco BeaumontOwnershipFreeholdBathroom2East Facing PropertyExplore this 2 BHK apartment in NIBM Annexe to buy or invest in Pune city. It is strategically situated in Vasupujya Neco Beaumont. This is one of the best properties available for resale. This ready to move flat located in NIBM Annexe is available at the price of INR 62 Lac. It is a semi-furnished apartment for sale.Read more₹62 Lac ₹6,889 per sqft Contact Owner Get Phone No. ",2025-08-10 03:04:46.315038
3 BHK Apartment for Sale in Ghotawade Phata Pune,₹75 Lac,900 sqft,https://www.magicbricks.com/nakshatra-angan-ghotawade-phata-pune-pdpid-4d4235303733373137,1,11,2025-08-10 18:04:46.315645,"20+ PhotosUpdated 15 hours ago Owner: Kundan Dwivedy3 BHK Apartment for Sale in Ghotawade Phata PuneNakshatra AnganCarpet Area900 sqftStatusReady to MoveFloor1 out of 12TransactionResaleFurnishingFurnishedfacingEastoverlookingGarden/ParkSocietyNakshatra AnganOwnershipFreeholdBathroom3Balcony2East Facing PropertyThis ready to move-in 3 BHK flat is available for sale at the premium Ghotawade Phata locality in Pune. It enjoys a prime location within Nakshatra Angan. This flat for resale is equipped with all required facilities. The ready to move flat in Ghotawade Phata is all ready for sale at the budget of INR 75 Lac. The apartment is furnished. indo german tech oark are a few nearby landmarks.Read more₹75 Lac ₹5,952 per sqft Contact Owner Get Phone No. ",2025-08-10 03:04:46.315625
1 BHK Apartment for Sale in Manjari Khurd Pune,₹50 Lac,428 sqft,https://www.magicbricks.com/vtp-cygnus-manjari-khurd-pune-pdpid-4d4235333435393733,1,12,2025-08-10 18:04:46.316188,"8+ PhotosUpdated 15 hours ago Owner: Aishwarya Pandit1 BHK Apartment for Sale in Manjari Khurd PuneVTP CygnusCarpet Area428 sqftStatusReady to MoveFloor7 out of 22TransactionResaleFurnishingUnfurnishedfacingEastoverlookingGarden/ParkSocietyVTP CygnusOwnershipFreeholdCar Parking1 CoveredBathroom1Balcony1East Facing PropertyNear EON IT park and WTC1 BHK EastFacing Flat for Sale at VTP CYGNUS, Manjari Khurd, Pune  7th Floor A 1 BHK apartment is available for sale in Manjari Khurd, Pune. Located in Vtp Cygnus, this flat is equipped with premium facilities. To park your vehicle, this 1 BHK flat is provided with 1 covered parking space. This flat for resale is an attractive property. This ready to move flat in Manjari Khurd is available for a price of INR 50 Lac. This unfurnished apartment for sale is strategically designed. Some neighbouring landmarks are near eon it park and wtc.Read more₹50 Lac Contact Owner Get Phone No. ",2025-08-10 03:04:46.316168
1 BHK Apartment for Sale in Wagholi Pune,₹32 Lac,490 sqft,https://www.magicbricks.com/sukhwani-scarlet-wagholi-pune-pdpid-4d4235303032333131,1,13,2025-08-10 18:04:46.316622,"14+ PhotosUpdated 15 hours ago Owner: Bhawna1 BHK Apartment for Sale in Wagholi PuneSukhwani ScarletCarpet Area490 sqftStatusReady to MoveFloor3 out of 9TransactionResaleFurnishingUnfurnishedSocietySukhwani ScarletBathroom1Balcony1Creatively planned and constructed is a 1 BHK flat for sale in Wagholi, Pune. It enjoys an excellent location within the Sukhwani Scarlet. Invest your valuable money in this flat that is for resale. This ready to move flat in Wagholi can be availed at a reasonable price of INR 32 Lac. It is unfurnished to accommodate your needs.Read more₹32 Lac ₹5,079 per sqft Contact Owner Get Phone No. ",2025-08-10 03:04:46.316607
1 BHK Apartment for Sale in Charholi BK Pune,₹30.3 Lac,495 sqft,https://www.magicbricks.com/tanish-orchid-phase-ii-charholi-budruk-pune-pdpid-4d4235303835313835,1,14,2025-08-10 18:04:46.317131,"10+ PhotosUpdated 14 hours ago Owner: Aniruddha1 BHK Apartment for Sale in Charholi BK PuneTanish Orchid Phase IICarpet Area495 sqftStatusReady to MoveFloor7 out of 11TransactionResaleFurnishingUnfurnishedfacingEastSocietyTanish Orchid Phase IIOwnershipFreeholdBathroom1Balcony1East Facing PropertyMultistorey apartment is available for rent. It is a good location property. Please contact for more details. Situated in the prime location of Charholi Budruk, the 1 BHK flat is currently available on sale. It has an excellent location within Tanish Orchid Phase Ii. You can immediately purchase this apartment available for resale. This ready to move flat is offered at a price of INR 30.3 Lac. The spacious apartment is unfurnished.Read more₹30.3 Lac ₹5,500 per sqft Contact Owner Get Phone No. ",2025-08-10 04:04:46.317114
2 BHK Apartment for Sale in Rahatani Pune,₹75 Lac,750 sqft,https://www.magicbricks.com/divine-dew-rahatni-pune-pdpid-4d4235313138343939,1,16,2025-08-10 18:04:46.318055,"7+ PhotosUpdated 14 hours ago Owner: Sanjjaay S Nikkam2 BHK Apartment for Sale in Rahatani PuneDivine DewCarpet Area750 sqftStatusReady to MoveFloor6 out of 10TransactionResaleFurnishingFurnishedSocietyDivine DewBathroom2Balcony1Multistory apartment is available for sale. It has a carpet area of 750 sq-ft, it is a good location. Please contact for more details. This ready to move-in 2 BHK flat is available for sale at the premium Rahatni locality in Pune. This well designed apartment is located within Divine Dew. This flat for resale is the perfect property for you. This apartment in one of the significant areas of Rahatni is ready to move, and can be purchased at the price of INR 75 Lac. You will find it furnished.Read more₹75 Lac Contact Owner Get Phone No. ",2025-08-10 04:04:46.318035
