title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking,data_quality_score,validation_issues,is_valid
3 BHK Apartment for Sale in Sector 112 Gurgaon,3.85 Cr,2215 sqft,https://www.magicbricks.com/tata-gurgaon-gateway-sector-112-gurgaon-pdpid-4d4235303239353935,1,1,2025-08-11 12:26:08.959107,Posted: Yesterday,2025-08-10 12:00:00.000000,3,,3 BHK,Semi-Furnished,10 out of 23,,Tata Gurgaon Gateway,Ready to Move,,,,Resale,,84.2,[],True
2 BHK Apartment for Sale in Sector 60 Gurgaon,2.95 Cr,1540 sqft,https://www.magicbricks.com/ireo-skyon-sector-60-gurgaon-pdpid-4d4235303230313733,1,2,2025-08-11 12:26:08.961029,Updated today,2025-08-11 12:00:00.000000,3,2,2 BHK,Semi-Furnished,2 out of 12,,IREO Skyon,Ready to Move,North - West,2 Covered,Freehold,Resale,Garden/Park,110.5,[],True
"3 BHK Apartment for Sale in Nirvana Country, Sector 50 Gurgaon",4.80 Cr,3000 sqft,https://www.magicbricks.com/unitech-the-close-north-nirvana-country-gurgaon-pdpid-4d4235323834363237,1,4,2025-08-11 12:26:08.963524,Updated today,2025-08-11 12:00:00.000000,3,3,3 BHK,Furnished,Lower Basement out of 19,,Unitech The Close North,Ready to Move,,,,Resale,,89.5,[],True
3 BHK Builder Floor for Sale in Sector 70A Gurgaon,2.60 Cr,1750 sqft,https://www.magicbricks.com/bptp-green-oaks-sector-70a-gurgaon-pdpid-4d4235333236323433,1,5,2025-08-11 12:26:08.965661,Updated today,2025-08-11 12:00:00.000000,3,2,3 BHK,Semi-Furnished,4 out of 4,,BPTP Green Oaks,,North - East,,Freehold,Resale,Garden/Park,100.0,[],True
"Studio Apartment for Sale in Sector 37D, Delhi Gurgaon Expressway Gurgaon",8 Lac,325 sqft,https://www.magicbricks.com/ramprastha-the-edge-towers-sector-37d-gurgaon-pdpid-4d4235303130333531,1,7,2025-08-11 12:26:08.969196,Updated today,2025-08-11 12:00:00.000000,,,Studio,Unfurnished,3 out of 10,,Ramprastha The Edge Towers,Ready to Move,,1 Covered,,Resale,,84.2,[],True
3 BHK Apartment for Sale in Sector 83 Gurgaon,1.94 Cr,1850 sqft,https://www.magicbricks.com/ss-cendana-sector-83-gurgaon-pdpid-4d4235343136383231,1,8,2025-08-11 12:26:08.971613,Updated today,2025-08-11 12:00:00.000000,3,3,3 BHK,Semi-Furnished,26 out of 33,,SS Cendana,,Read more,,Freehold,Resale,Garden/Park,100.0,[],True
2 BHK Apartment for Sale in Sector 33 Sohna Gurgaon,1.70 Cr,1385 sqft,https://www.magicbricks.com/godrej-nature-plus-sohna-sector-33-gurgaon-pdpid-4d4235313132333731,1,10,2025-08-11 12:26:08.974705,Updated today,2025-08-11 12:00:00.000000,2,3,2 BHK,Unfurnished,15 out of 22,,Godrej Nature Plus,Ready to Move,East,,Freehold,Resale,Garden/Park,105.3,[],True
2 BHK Apartment for Sale in Sector 70A Gurgaon,85 Lac,700 sqft,https://www.magicbricks.com/pyramid-fusion-homes-sector-70a-gurgaon-pdpid-4d4235313232373337,1,15,2025-08-11 12:26:08.979118,Updated today,2025-08-11 12:00:00.000000,2,,2 BHK,Unfurnished,Ground out of 14,,Pyramid Fusion Homes,Ready to Move,,,,Resale,,84.2,[],True
3 BHK Apartment for Sale in Sector 49 Gurgaon,4.12 Cr,1993 sqft,https://www.magicbricks.com/godrej-aristocrat-sector-49-gurgaon-pdpid-4d4235343138383333,1,16,2025-08-11 12:26:08.980824,Updated 9 hours ago,2025-08-11 03:26:08.979777,3,1,3 BHK,Furnished,23 out of 32,,Godrej Aristocrat,,,,,Resale,,84.2,[],True
2 BHK Apartment for Sale in Sohna Gurgaon,95 Lac,1285 sqft,https://www.magicbricks.com/eldeco-acclaim-sohna-gurgaon-pdpid-4d4235313835323237,1,17,2025-08-11 12:26:08.982113,Updated 9 hours ago,2025-08-11 03:26:08.981366,2,,2 BHK,,1 out of 3,,Eldeco Acclaim,,,,,Resale,,73.7,[],True
3 BHK Apartment for Sale in Gwal Pahari Gurgaon,1.52 Cr,1300 sqft,https://www.magicbricks.com/ansal-valley-view-estate-gwal-pahari-gurgaon-pdpid-4d4235303031323039,1,18,2025-08-11 12:26:08.983709,Updated 7 hours ago,2025-08-11 05:26:08.982689,2,2,3 BHK,Semi-Furnished,1 out of 17,,Ansal Valley View Estate,Ready to Move,North,1 Open,Freehold,Resale,,105.3,[],True
2 BHK Builder Floor for Sale in Sector 82 Gurgaon,1.30 Cr,1133 sqft,https://www.magicbricks.com/vatika-india-next-sector-82-gurgaon-pdpid-4d4235303030303336,1,19,2025-08-11 12:26:08.985283,Updated 7 hours ago,2025-08-11 05:26:08.984304,2,3,2 BHK,Semi-Furnished,2 out of 2,,Vatika India Next,Ready to Move,South,,Freehold,Resale,Garden/Park,105.3,[],True
3 BHK Apartment for Sale in Sector 67A Gurgaon,2.85 Cr,1295 sqft,https://www.magicbricks.com/ireo-the-corridors-sector-67a-gurgaon-pdpid-4d4235303231363539,1,20,2025-08-11 12:26:08.986665,Updated 7 hours ago,2025-08-11 05:26:08.985804,3,2,3 BHK,Semi-Furnished,9 out of 19,,Ireo The Corridors,Ready to Move,Read more,,,Resale,,94.7,[],True
4 BHK Apartment for Sale in Sector 63 Gurgaon,7.25 Cr,2800 sqft,https://www.magicbricks.com/the-sixty-three-sector-63-gurgaon-pdpid-4d4235333934323635,1,23,2025-08-11 12:26:08.989461,Updated 7 hours ago,2025-08-11 05:26:08.988455,5,4,4 BHK,Furnished,20 out of 40,,THE SIXTY THREE,,North - East,3 Covered,Freehold,Resale,Garden/Park,105.3,[],True
3 BHK Apartment for Sale in Dwarka Expressway Gurgaon,2.60 Cr,2066 sqft,https://www.magicbricks.com/godrej-oasis-dwarka-expressway-gurgaon-pdpid-4d4235303431363339,1,24,2025-08-11 12:26:08.991047,Updated 7 hours ago,2025-08-11 05:26:08.990066,3,4,3 BHK,Semi-Furnished,11 out of 18,,Godrej Oasis,Ready to Move,Read more,2 Covered,Freehold,Resale,Garden/Park,110.5,[],True
Plot/Land for Sale in Sector 91 Gurgaon,10.10 Cr,4518 sqft,https://www.magicbricks.com/dlf-gardencity-sector-91-gurgaon-pdpid-4d4235303232373133,1,25,2025-08-11 12:26:08.992165,Updated 7 hours ago,2025-08-11 05:26:08.991493,,,Plot,,,,DLF Gardencity,,Read more,,Freehold,Resale,Garden/Park,78.9,[],True
