Field,Original_Success_Rate,Improved_Success_Rate,Absolute_Improvement,Percentage_Improvement,Status
title,100.0%,0.0%,-100.0%,-100.0%,declined
price,0.0%,100.0%,100.0%,0.0%,improved
area,0.0%,100.0%,100.0%,0.0%,improved
super_area,0.0%,100.0%,100.0%,0.0%,improved
bedrooms,0.0%,100.0%,100.0%,0.0%,improved
bathrooms,0.0%,100.0%,100.0%,0.0%,improved
balconies,0.0%,100.0%,100.0%,0.0%,improved
furnishing,92.2%,100.0%,7.8%,8.4%,improved
floor,92.2%,100.0%,7.8%,8.4%,improved
total_floors,0.0%,100.0%,100.0%,0.0%,improved
age,0.0%,100.0%,100.0%,0.0%,improved
facing,60.0%,100.0%,40.0%,66.7%,improved
parking,36.7%,100.0%,63.3%,172.7%,improved
status,0.0%,100.0%,100.0%,0.0%,improved
society,0.0%,64.4%,64.4%,0.0%,improved
locality,0.0%,0.0%,0.0%,0.0%,unchanged
city,0.0%,0.0%,0.0%,0.0%,unchanged
property_type,0.0%,100.0%,100.0%,0.0%,improved
transaction_type,100.0%,100.0%,0.0%,0.0%,unchanged
possession,0.0%,100.0%,100.0%,0.0%,improved
property_url,0.0%,0.0%,0.0%,0.0%,unchanged
