title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date
N/A,N/A,N/A,https://post.magicbricks.com,1,1,2025-08-10 14:48:55.644299,,
N/A,N/A,N/A,https://www.magicbricks.com/owner-property-for-sale-in-bangalore-pppfs,1,30,2025-08-10 14:48:55.666360,,
N/A,N/A,N/A,https://www.magicbricks.com/Real-estate-projects-Search/ALL-RESIDENTIAL-new-project-Bangalore,1,34,2025-08-10 14:48:55.667329,,
N/A,N/A,N/A,https://property.magicbricks.com/microsite/lp/patabadlolifebadlo/?inc=pblb_web_homepage_propertyforeveryone_top,1,38,2025-08-10 14:48:55.668118,,
N/A,N/A,N/A,https://www.magicbricks.com/low-budget-flats-for-sale-in-bangalore-pppfs,1,40,2025-08-10 14:48:55.668647,,
N/A,N/A,N/A,https://post.magicbricks.com,2,1,2025-08-10 14:49:49.230615,,
N/A,N/A,N/A,https://www.magicbricks.com/owner-property-for-sale-in-bangalore-pppfs,2,30,2025-08-10 14:49:49.251483,,
N/A,N/A,N/A,https://www.magicbricks.com/Real-estate-projects-Search/ALL-RESIDENTIAL-new-project-Bangalore,2,34,2025-08-10 14:49:49.252375,,
N/A,N/A,N/A,https://property.magicbricks.com/microsite/lp/patabadlolifebadlo/?inc=pblb_web_homepage_propertyforeveryone_top,2,38,2025-08-10 14:49:49.253142,,
N/A,N/A,N/A,https://www.magicbricks.com/low-budget-flats-for-sale-in-bangalore-pppfs,2,40,2025-08-10 14:49:49.253678,,
