title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date
2 BHK Apartment for Sale in Bagalur Main Road Bangalore,₹70 Lac,795 sqft,https://www.magicbricks.com/brigade-el-dorado-bagalur-main-road-bangalore-pdpid-4d4235313234343235,1,4,2025-08-10 15:49:45.350659,,
2 BHK Apartment for Sale in Kothanur Bangalore,₹1.80 Cr,1232 sqft,https://www.magicbricks.com/purva-palm-beach-kothanur-bangalore-pdpid-4d4235303337393936,1,5,2025-08-10 15:49:45.351092,,
4 BHK Apartment for Sale in Krishnarajapura Bangalore,₹4.75 Cr,3630 sqft,https://www.magicbricks.com/brigade-exotica-k-r-puram-bangalore-pdpid-4d4235303233313334,1,6,2025-08-10 15:49:45.351495,,
2 BHK Apartment for Sale in Huvinayakanahalli Bangalore,₹90 Lac,592 sqft,https://www.magicbricks.com/krypton-at-brigade-eldorado-huvinayakanahalli-bangalore-pdpid-4d4235333335363535,1,7,2025-08-10 15:49:45.352059,,
4 BHK Villa for Sale in Bannerghatta Main Road Bangalore,₹2.80 Cr,4500 sqft,https://www.magicbricks.com/pride-vatika-bannerghatta-main-road-bangalore-pdpid-4d4235303037383031,1,10,2025-08-10 15:49:45.353616,,
3 BHK Apartment for Sale in Panathur Bangalore,₹2.10 Cr,1507 sqft,https://www.magicbricks.com/sobha-sentosa-panathur-bangalore-pdpid-4d4235333239323937,1,11,2025-08-10 15:49:45.354086,,
4 BHK Apartment for Sale in Yelahanka Bangalore,₹1.80 Cr,2650 sqft,https://www.magicbricks.com/almond-tree-yelahanka-bangalore-pdpid-4d4235303232353433,1,12,2025-08-10 15:49:45.354597,,
3 BHK Apartment for Sale in Kadugodi Bangalore,₹1.29 Cr,1200 sqft,https://www.magicbricks.com/amrutha-maple-kadugodi-bangalore-pdpid-4d4235313131313433,1,16,2025-08-10 15:49:45.356498,,
Plot/Land for Sale in Chandapura Bangalore,₹48 Lac,1200 sqft,https://www.magicbricks.com/upkar-spring-fields-chandapura-bangalore-pdpid-4d4235303137303231,1,17,2025-08-10 15:49:45.356916,,
2 BHK Apartment for Sale in Sree Narayana Nagar Bangalore,₹39 Lac,685 sqft,https://www.magicbricks.com/bavisha-urban-homes-sree-narayana-nagar-bangalore-pdpid-4d4235313134383935,1,19,2025-08-10 15:49:45.357928,,
1 BHK Apartment for Sale in Basavanagara Bangalore,₹28 Lac,475 sqft,https://www.magicbricks.com/jana-jeeva-apartments-basavanagara-bangalore-pdpid-4d4235313930353433,1,21,2025-08-10 15:49:45.359098,,
2 BHK Apartment for Sale in Pulikeshi Nagar Bangalore,₹1.20 Cr,1100 sqft,https://www.magicbricks.com/greenland-shelter-frazer-town-bangalore-pdpid-4d4235303531333136,1,22,2025-08-10 15:49:45.359590,,
3 BHK Apartment for Sale in RK Hegde Nagar Bangalore,₹95 Lac,1300 sqft,https://www.magicbricks.com/kempe-gowda-layout-hegde-nagar-bangalore-pdpid-4d4235343035333033,1,24,2025-08-10 15:49:45.360768,,
Plot/Land for Sale in Yelahanka Bangalore,₹1.30 Cr,1500 sqft,https://www.magicbricks.com/vaishnavi-life-yelahanka-bangalore-pdpid-4d4235333235363637,1,26,2025-08-10 15:49:45.361738,,
3 BHK  House for Sale in Kalkere Bangalore,₹1.60 Cr,2160 sqft,https://www.magicbricks.com/sankalpa-green-park-kalkere-bangalore-pdpid-4d4235303237303235,1,27,2025-08-10 15:49:45.362279,,
"3 BHK Apartment for Sale in Kundalahalli, Brookefield Bangalore",₹1.20 Cr,1500 sqft,https://www.magicbricks.com/prism-sovereign-kundalahalli-bangalore-pdpid-4d4235303339373239,1,28,2025-08-10 15:49:45.362771,,
3 BHK Apartment for Sale in Block 6th Stage 6th Banashankari Bangalore,₹1.50 Cr,1420 sqft,https://www.magicbricks.com/sobha-hillview-banashankari-6th-stage-6th-block-bangalore-pdpid-4d4235303036343334,1,29,2025-08-10 15:49:45.363257,,
"3 BHK Villa for Sale in Vajarahalli, Vajarahalli Bangalore",₹1.80 Cr,1400 sqft,https://www.magicbricks.com/bluejay-malgudi-vajarahalli-bangalore-pdpid-4d4235303933343235,1,30,2025-08-10 15:49:45.363720,,
"2 BHK Apartment for Sale in Adarsh Palm Retreat, Bellandur Bangalore",₹1.51 Cr,1200 sqft,https://www.magicbricks.com/adarsh-palm-retreat-tower-ii-adarsh-palm-retreat-bangalore-pdpid-4d4235313134343437,2,3,2025-08-10 15:49:49.865989,,
2 BHK Apartment for Sale in Chikkavaderapura Bangalore,₹1.51 Cr,1256 sqft,https://www.magicbricks.com/abhee-celestial-city-chikkavaderapura-bangalore-pdpid-4d4235343137383235,2,5,2025-08-10 15:49:49.868224,,
2 BHK Apartment for Sale in Attibele Bangalore,₹40.7 Lac,704 sqft,https://www.magicbricks.com/dsmax-sarovar-attibele-bangalore-pdpid-4d4235303236313032,2,11,2025-08-10 15:49:49.872683,,
3 BHK Apartment for Sale in Phase 7 JP Nagar Bangalore,₹1.26 Cr,1230 sqft,https://www.magicbricks.com/shivaganga-opal-jp-nagar-phase-7-bangalore-pdpid-4d4235303239333836,2,13,2025-08-10 15:49:49.874777,,
2 BHK Apartment for Sale in Gunjur Bangalore,₹1.36 Cr,1000 sqft,https://www.magicbricks.com/abhee-aaria-gunjur-bangalore-pdpid-4d4235343239303739,2,17,2025-08-10 15:49:49.879655,,
2 BHK Apartment for Sale in Sarjapur Road Bangalore,₹47.5 Lac,1078 sqft,https://www.magicbricks.com/sowparnika-chandrakantha-sarjapur-road-bangalore-pdpid-4d4235303036343139,2,18,2025-08-10 15:49:49.880438,,
"2 BHK Apartment for Sale in Jalahalli, Jalahalli, Outer Ring Road Bangalore",₹73 Lac,1020 sqft,https://www.magicbricks.com/shriram-sameeksha-jalahalli-bangalore-pdpid-4d4235303138313630,2,21,2025-08-10 15:49:49.882522,,
Plot/Land for Sale in Varthur Bangalore,₹1.50 Cr,1500 sqft,https://www.magicbricks.com/sankalpa-perl-varthur-bangalore-pdpid-4d4235303138353635,2,24,2025-08-10 15:49:49.884070,,
4 BHK Penthouse for Sale in Whitefield Bangalore,₹3.69 Cr,4100 sqft,https://www.magicbricks.com/birla-alokya-whitefield-bangalore-pdpid-4d4235313235363835,2,25,2025-08-10 15:49:49.884669,,
3 BHK Apartment for Sale in Uttarahalli Hobli Bangalore,₹66 Lac,1000 sqft,https://www.magicbricks.com/amity-temple-bay-uttarahalli-bangalore-pdpid-4d4235303831393236,2,26,2025-08-10 15:49:49.885160,,
2 BHK Apartment for Sale in CV Raman Nagar Bangalore,₹92 Lac,1100 sqft,https://www.magicbricks.com/samhita-square-c-v-raman-nagar-bangalore-pdpid-4d4235303037343734,2,29,2025-08-10 15:49:49.886856,,
1 BHK Apartment for Sale in Phase 1 Electronics City Bangalore,₹68 Lac,755 sqft,https://www.magicbricks.com/shriram-summitt-electronics-city-phase-1-bangalore-pdpid-4d4235303833333339,2,30,2025-08-10 15:49:49.887386,,
