title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking,data_quality_score,validation_issues,is_valid,amenities,description,builder_name,location_address,specifications
1 BHK Apartment for Sale in Kargil Nagar Mumbai,8.5 Lac,315 sqft,https://www.magicbricks.com/shree-ganesh-apartment-kargil-nagar-mumbai-pdpid-4d4235323131303431,1,1,2025-08-12 11:57:52.382035,Updated today,2025-08-12 12:00:00,1,,1 BHK,Unfurnished,4 out of 4,,Shree Ganesh Apartment,Ready to Move,East,,Freehold,Resale,Main Road,100.0,[],True,,"About Shree Ganesh ApartmentShree Ganesh Apartment StatusReady To MoveThe magnificent Shree Ganesh Apartment that is smartly located in Virar East, Mumbai is a well-planned project. Swami Vivekanand Marg, Kandivali, Kamala Nagar, Bhagat Colony, Kandivali West, Mumbai, Maharashtra is the full address of the site. The required pincode of the project is 401305. Shree Ganesh Apartment spells convenience and comfort at a competitive price.Shree Ganesh Apartment AddressPlan to visit Shree Ganesh Apartment in Mumbai? The full site address is Swami Vivekanand Marg, Kandivali, Kamala Nagar, Bhagat Colony, Kandivali West, Mumbai, Maharashtra, 401305.",,"Virar East, Mumbai",{}
1 BHK Apartment for Sale in Jogeshwari East Mumbai,1.25 Cr,475 sqft,https://www.magicbricks.com/govardhan-complex-jogeshwari-east-mumbai-pdpid-4d4235313531353831,1,4,2025-08-12 11:57:52.387022,Updated today,2025-08-12 12:00:00,2,,1 BHK,Unfurnished,5 out of 7,,Govardhan Complex,Ready to Move,East,,Freehold,Resale,Main Road,100.0,[],True,,About Govardhan ComplexGovardhan Complex StatusReady To MoveGovardhan Complex Possession Date01 December 2006Towers in Govardhan Complex1Govardhan Complex is strategically located at Jogeshwari East with a seamless connectivity to the prominent areas of Mumbai. The 113 in this project all come with smart interiors and well-utilised spaces.Govardhan Complex is smartly developed by the well-known builder Metro Associates. The pincode for this project is 400060. Govardhan Complex is where fine living meets seamless connectivity to provide you comfort living.,Metro Associates26 Years Experience,"Jogeshwari East, Mumbai",{}
1 BHK Apartment for Sale in Dahisar West Mumbai,1.20 Cr,495 sqft,https://www.magicbricks.com/gurukul-tower-dahisar-west-mumbai-pdpid-4d4235313038373639,1,7,2025-08-12 11:57:52.391981,Updated today,2025-08-12 12:00:00,1,,1 BHK,Unfurnished,18 out of 20,,Gurukul Tower,Ready to Move,East,1 Open,,Resale,"Garden/Park, Main Road",100.0,[],True,,"About Gurukul TowerGurukul Tower StatusReady To MovePositioned at well connected locality Dahisar, Gurukul Tower is an aesthetically built project of Mumbai. Gurukul Tower's commencement certificate has not been granted. The status of the occupancy certificate of this project not granted. The site's exact address is Dahisar, Mumbai. . Its pincode is 400068. Enjoy the comforts of living in Gurukul Tower with all modern conveniences at your disposal.Gurukul Tower AddressWish to have a look and feel of the Gurukul Tower project? Reach out at Dahisar, Mumbai. , 400068.",,"Dahisar, Mumbai",{}
2 BHK Apartment for Sale in Malad West Mumbai,2.80 Cr,755 sqft,https://www.magicbricks.com/raj-infinia-malad-west-mumbai-pdpid-4d4235303139313930,1,13,2025-08-12 11:57:52.402361,Updated today,2025-08-12 12:00:00,2,,2 BHK,Semi-Furnished,2 out of 21,,Raj Infinia,Ready to Move,East,,Freehold,New Property,Main Road,100.0,[],True,,"About Raj InfiniaLife at Malad (West) is set to change forever. Because Raj Infinia fulfils more than just your needs. It opens you up to a world of infinite possibilities. To have unlimited fun.Raj Infinia at Malad West, Mumbai, offers high-end yet affordable apartment options ranging between INR 1.75 Cr. onwards.To live in your own private world.To be close to the action. Raj Infinia, Fulfil your unlimited dreamsStanding tall at 36 storeys at the skyline of Western Mumbai, the specious 2, 3 and 4 BHK residences ensure ample space for your family to spread their wings. Plus, with intelligent structural alignment, 10 feet floor-to-floor height, top-of-the-line security solutions and multi-level car parking, Raj Infinia is just the place to start a grand new life.Raj Infinia PriceRs. 2. 56 Cr - 5. 0 CrProject TypeResidentialProperty TypesFlatRaj Infinia StatusReady To MoveRaj Infinia Launch Date01 September 2017Raj Infinia Possession Date01 December 2024Towers in Raj Infinia3Positioned at well connected locality Malad West, Raj Infinia is an aesthetically built project of Mumbai. Spread over 1734 Sq-m, this project is impressive in its coverage. This project has a total of 498 units.The project boasts of a range of configurations viz Flat which are charming, yet durable. Raj Infinia has been granted its commencement certificate. The occupancy certificate of this modern project not granted. Raj Infinia has been built by reputed real estate developer Rajesh LifeSpaces. Raj Infinia, Opp. Movie Time Cinema, Link Road, Malad (W), Mumbai - 400 064 is the official address of this project. Its pincode is 400095. Raj Infinia spells convenience and comfort at a competitive price.Top Amenities in Raj InfiniaPrivate jaccuziLiftIndoor Squash & Badminton CourtsIndoor Games RoomEvent Space & AmphitheatreKids play areaBarbeque spaceRaj Infinia Floor PlanUnit ConfigurationUnit SizeRaj Infinia 2 BHK Flat757. 0 Sq. Ft. - 797. 0 Sq. Ft.Raj Infinia 3 BHK Flat1045. 0 Sq. Ft. - 1095. 0 Sq. Ft.Raj Infinia 4 BHK Flat1563. 0 Sq. Ft. - 1563. 0 Sq. Ft.Floor plans are the perfect way to understand how the spaces/rooms of Raj Infinia are structured and help provide a clear picture of the house layout. Raj Infinia boasts of having 3 configurations available in 6 types of immaculately designed layouts. The bathrooms are fixed with world-class fittings. Balconies are well-ventilated in all the configurations. You can view the different types of configurations of Raj Infinia on Magicbricks.Raj Infinia BrochureGet a comprehensive and detailed overview of Raj Infinia by downloading their PDF BrochureThe download link is seamlessly available at the top right hand side of the page under 'Download Brochure' tab. The brochure of Raj Infinia can easily be downloaded by providing your name, contact number and email address.Raj Infinia AddressWish to have a look and feel of the Raj Infinia project? Reach out at Raj Infinia, Opp. Movie Time Cinema, Link Road, Malad (W), Mumbai - 400 064, 400095.","Rajesh LifeSpaces63 Years Experience139, Nagindas Master Road, 2nd Floor, Seksaria Chambers, Fort, Mumbai 400 023","Malad West, Mumbai",{}
2 BHK Apartment for Sale in Marol Mumbai,2.75 Cr,802 sqft,https://www.magicbricks.com/sheth-vasant-oasis-marol-mumbai-pdpid-4d4235303138333637,1,14,2025-08-12 11:57:52.406608,Updated today,2025-08-12 12:00:00,2,1.0,2 BHK,Semi-Furnished,16 out of 20,,Sheth Vasant Oasis,Ready to Move,North - East,1 Covered,Co-operative Society,Resale,"Garden/Park, Main Road",110.5,[],True,,"About Vasant OasisVasant Oasis at Andheri East, Mumbai, offers high-end yet affordable apartment options ranging between Rs. 1.71 Cr - 9.64 Cr.Vasant Oasis is a place where excess is a way of life. Strategically located in Andheri (East), it is a world of choicest conveniences brought together to revitalize your spirit with pure bliss. Multiple towers of 22 storeys each, this residential complex features 1, 2, 3 & 4 BHK with an array of lifestyle amenities.An amalgam of modern infrastructure, remarkable architecture, and numerous recreational avenues, Vasant Oasis is spread across a blissful abundance that urges you to unlearn the ordinary way of life and experience true luxury by living in excess.'Approved by BMC' to 'RERA Approved'Project TypeResidentialProperty TypesFlatVasant Oasis StatusReady To MoveVasant Oasis Launch Date01 July 2017Vasant Oasis Possession Date01 December 2019Towers in Vasant Oasis10Located in Andheri East, Mumbai, the Vasant Oasis is a thoughtfully planned one, equipped with all amenities for a comfortable living. Spread over 1 Acre, this project is impressive in its coverage. There are total 927 units in the project that are designed keeping the modern lifestyle in mind.The project offers property options such as Flat which are unparalleled and value for money. This world class Vasant Oasis has been granted. its commencement certificate. The occupancy certificate of this planned project granted. The entire Vasant Oasis project has been helmed by renowned builder Sheth Creators. You can reach out to this project at 345A/1 PART, Makwana Road, Marol Mumbai Suburban-400059. The project is located at one of the most sought after pin codes that is 400069. Vasant Oasis spells convenience and comfort at a competitive price.Top Amenities in Vasant OasisInfinity Swimming PoolGolf CourseMini Cinema TheatreWaste DisposalLaundry ServiceInternet/Wi-Fi ConnectivityDTH Television FacilityVasant Oasis Floor PlanUnit ConfigurationUnit SizeVasant Oasis 1 BHK Flat625. 0 Sq. Ft. - 665. 0 Sq. Ft.Vasant Oasis 2 BHK Flat850. 0 Sq. Ft. - 1300. 0 Sq. Ft.Vasant Oasis 3 BHK Flat1800. 0 Sq. Ft. - 1800. 0 Sq. Ft.To gain an overview of the house structure, it is best to study the floor plans as these will give you a clear picture of the layout. In Vasant Oasis the units are available in 3 configurations and 10 types of layout designs. All these configurations come with bathrooms and balconies. Magicbricks enumerates different configurations of Vasant Oasis across a range of unit sizes.Vasant Oasis BrochureTo get detailed and comprehensive information about $project name you can download the brochure PDF. This brochure can be easily accessed from the top right end of the page, where you will see the link of 'Download Brochure'. The brochure of Vasant Oasis can be viewed by giving your contact details of name, email and phone or mobile number.Vasant Oasis AddressVasant Oasis is one of the most sought after projects of city. It is located at 345A/1 PART, Makwana Road, Marol Mumbai Suburban-400059, 400069.",Sheth Creators14 Years Experience,"Andheri East, Mumbai",{}
2 BHK Apartment for Sale in Powai Mumbai,2.55 Cr,671 sqft,https://www.magicbricks.com/shapoorji-pallonji-vicinia-powai-mumbai-pdpid-4d4235323333353437,1,15,2025-08-12 11:57:52.410988,Updated today,2025-08-12 12:00:00,2,1.0,2 BHK,Unfurnished,22 out of 22,,Shapoorji Pallonji Vicinia,Ready to Move,West,1 Covered,Co-operative Society,New Property,Main Road,110.5,[],True,,"About Shapoorji Pallonji ViciniaProject TypeResidentialProperty TypesFlatShapoorji Pallonji Vicinia StatusUnder ConstructionShapoorji Pallonji Vicinia Launch Date01 April 2015Shapoorji Pallonji Vicinia Possession Date01 June 2021Towers in Shapoorji Pallonji Vicinia8Shapoorji Pallonji Vicinia is a well-planned project that is ideally positioned in Powai, Mumbai. The project features a total of 588 units that are well-ventilated.The property features various unit types as Flat, which are constructed to offer complete satisfaction. Shapoorji Pallonji Vicinia project was created by the well-known developer Shapoorji Pallonji Group. The address of this smartly planned project is Vicinia Sales Office, Forbes & Company Limited Compound, Saki Vihar Rd, Chandivali, Powai, Mumbai, Maharashtra. The project falls under the pincode 400076. Shapoorji Pallonji Vicinia offers a contemporary lifestyle to its residents and is the perfect place to own your dream home.Top Amenities in Shapoorji Pallonji ViciniaHelipadPrivate poolPrivate jaccuziGolf CourseSkydeckSea facingPrivate Terrace/GardenShapoorji Pallonji Vicinia Floor PlanUnit ConfigurationUnit SizeShapoorji Pallonji Vicinia 3 BHK Flat1500. 0 Sq. Ft. - 1650. 0 Sq. Ft.To get an idea of the space covered, layout and room sizes, browsing through the floor plan would help. There are 1 configurations in 3 different types of layouts across the different properties in Shapoorji Pallonji Vicinia. Bathrooms with contemporary fittings and balconies that allow for easy ventilation are part of the configurations. The different types of unit sizes of Shapoorji Pallonji Vicinia can be viewed on MagicBricks.Shapoorji Pallonji Vicinia BrochureGet a comprehensive and detailed overview of Shapoorji Pallonji Vicinia by downloading their PDF BrochureThe brochure can be viewed at the top right side of the page under the link 'Download Brochure'. To download the brochure of Shapoorji Pallonji Vicinia you need to provide details of your name, number and email address.Shapoorji Pallonji Vicinia AddressVicinia Sales Office, Forbes & Company Limited Compound, Saki Vihar Rd, Chandivali, Powai, Mumbai, Maharashtra, 400076, is the complete address of Shapoorji Pallonji Vicinia",Shapoorji Pallonji Group75 Years Experience,"Powai, Mumbai",{}
2 BHK Apartment for Sale in Shell Colony Mumbai,2.35 Cr,699 sqft,https://www.magicbricks.com/godrej-prime-shell-colony-mumbai-pdpid-4d4235303832373339,1,16,2025-08-12 11:57:52.414075,Updated today,2025-08-12 12:00:00,2,,2 BHK,Furnished,5 out of 15,,Godrej Prime,Ready to Move,,,,Resale,,84.2,[],True,,"About Godrej PrimeOverviewGodrej Prime located in Chembur, Mumbai has amazing luxury flats available from Rs. 1.48 Cr - 2.81 Cr.Godrej Prime offers a grand lifestyle with 15 storied residential towers in Chembur. With a variety of choices of 2BHK, 2.5BHK, and 3BHK apartments, this project also has a wide range of amenities. With thumbs up from RERA, Godrej Properties is making a project worth reminiscence.Project DetailsThis project promises to present a perfect place for dwelling for the rest of the life with lavish amenities and ease of communication. The Godrej Prime Chembur floor plan has been done in such a way that you will be able to enjoy every moment of your stay here.The size of the 2BHK apartments ranges between 663 and 796 sq. ft., 2.5BHK apartments are between 753 and 868 sq. ft. and the 3 BHK apartments are between 987 and 1076 sq. ft.The club life of Godrej Prime is equipped with lavish amenities to make every moment enjoyable. Mini theatre, reception area, crèche, gymnasium, library lounge, multipurpose hall, indoor games room, etc. can be availed in the area of the project. Unique rooftop amenities can be availed, which makes it stand apart from the crowd. The amenities include seating alcove, jogging track, kid’s play area, senior citizen area, etc.All the Godrej Prime reviews are positive not only because of its grand amenities and facilities, but also because of its location. It is located in Chembur and has great connectivity with all the posh areas of the city, allowing you to spend quality time with your family rather than amidst the traffic.HighpointsThe Godrej Prime is located near the SCLR or the Santacruz Chembur Link Road, monorail, Eastern Express Highway, Eastern Freeway, Kurla and Tilak Nagar railway stations, which makes this project highly accessible. The domestic and international airports are also 13 and 14 kms respectively from the project.Project TypeResidentialProperty TypesFlatGodrej Prime StatusReady To MoveGodrej Prime Launch Date01 July 2017Godrej Prime Possession Date01 May 2023Towers in Godrej Prime17Situated at a prime location of Chembur, Godrej Prime is a meticulously designed project of Mumbai. It covers an area of 4 Acre giving enough green space to residents. The project has a total of 1032 units, constructed with robust quality.The project offers an array of property choices such as Flat to suit every individual's need. The commencement certificate of Godrej Prime has been granted. The occupancy certificate of the project not granted. Known for their quality constructions Godrej Properties has developed Godrej Prime project. The exact address of this famous project is No. 492, Rd Number 1, Sahakar Nagar, Kurla, Mumbai, Maharashtra. The pincode for this project is 400071. Enjoy the luxury of living with all modern conveniences in Godrej Prime.Top Amenities in Godrej PrimeMini Cinema TheatreLiftKids Play AreaPiped GasRO Water SystemInternet/Wi-Fi ConnectivityAir ConditionedGodrej Prime Floor PlanUnit ConfigurationUnit SizeGodrej Prime 2 BHK Flat1050. 0 Sq. Ft. - 1200. 0 Sq. Ft.Godrej Prime 3 BHK Flat1650. 0 Sq. Ft. - 1721. 0 Sq. Ft.To get an idea of the space covered, layout and room sizes, browsing through the floor plan would help. You can view different configurations across unit sizes of Godrej Prime on Magicbricks. All these configurations come with bathrooms and balconies. Magicbricks enumerates different configurations of Godrej Prime across a range of unit sizes.Godrej Prime BrochureYou can get all details of Godrej Prime by downloading their PDF brochure here. The brochure can be viewed at the top right side of the page under the link 'Download Brochure'. Just enter the details like name, email address and contact details and you can download the brochure of Godrej Prime.Godrej Prime AddressNo. 492, Rd Number 1, Sahakar Nagar, Kurla, Mumbai, Maharashtra, 400071, is the complete address of Godrej Prime",Godrej Properties35 Years Experience,"Chembur, Mumbai",{}
1 BHK Apartment for Sale in Mulund West Mumbai,50 Lac,187 sqft,https://www.magicbricks.com/kothari-apartment-mulund-west-mumbai-pdpid-4d4235323235373131,1,18,2025-08-12 11:57:52.418790,Posted: Yesterday,2025-08-11 12:00:00,1,,1 BHK,Semi-Furnished,3 out of 3,,Kothari Apartment,Ready to Move,,,,Resale,,84.2,[],True,,"About Kothari ApartmentKothari Apartment StatusReady To MoveKothari Apartment Possession Date01 December 2018Positioned at well connected locality Mulund West, Kothari Apartment is an aesthetically built project of Mumbai. Kothari Apartment, Mulund (East), Central Mumbai suburbs, Maharashtra is the official address of this project. Its pincode is 400080. Kothari Apartment offers a contemporary lifestyle to its residents and is the perfect place to own your dream home.Kothari Apartment AddressKothari Apartment is situated in the prime city of Mumbai. The full address is Kothari Apartment, Mulund (East), Central Mumbai suburbs, Maharashtra, 400080.",,"Mulund West, Mumbai",{}
1 BHK Apartment for Sale in Sion East Mumbai,2.25 Cr,720 sqft,https://www.magicbricks.com/kartar-bhavan-sion-east-mumbai-pdpid-4d4235323235333439,1,19,2025-08-12 11:57:52.421855,Posted: Yesterday,2025-08-11 12:00:00,1,,1 BHK,Furnished,4 out of 5,,Kartar Bhavan,Ready to Move,,,,Resale,,84.2,[],True,,"About Kartar BhavanKartar Bhavan StatusReady To MoveTowers in Kartar Bhavan1Situated in Sion East, the Kartar Bhavan is planned to offer a modern lifestyle to all the residents. The property comprises of 16 units which are enclosed within a peaceful environment.The site's exact address is Colaba Causeway, Apollo Bandar, Colaba, Mumbai, Maharashtra. The pin code of this project is 400022. At Kartar Bhavan, you can enjoy a modern lifestyle as all conveniences are easily available.Kartar Bhavan AddressWish to have a look and feel of the Kartar Bhavan project? Reach out at Colaba Causeway, Apollo Bandar, Colaba, Mumbai, Maharashtra, 400022.",,"Sion East, Mumbai",{}
1 BHK Apartment for Sale in Chandivali Mumbai,1 Cr,403 sqft,https://www.magicbricks.com/paradise-raheja-vihar-chandivali-mumbai-pdpid-4d4235323133323039,1,20,2025-08-12 11:57:52.423807,Posted: Yesterday,2025-08-11 12:00:00,1,,1 BHK,Semi-Furnished,Ground out of 7,,paradise raheja vihar,Ready to Move,,,,Resale,,84.2,[],True,,"About paradise raheja viharparadise raheja vihar StatusReady To Moveparadise raheja vihar is a well-planned project that is ideally positioned in Chandivali, Mumbai. Raheja Vihar Complex, opp. Chandivali Studio, Chandivali, Powai, Mumbai, Maharashtra is the official address of this project. The pincode for this project is 400072. paradise raheja vihar spells convenience and comfort at a competitive price.paradise raheja vihar Addressparadise raheja vihar is one of the most sought after projects of city. It is located at Raheja Vihar Complex, opp. Chandivali Studio, Chandivali, Powai, Mumbai, Maharashtra, 400072.",,"Chandivali, Mumbai",{}
