title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,is_premium,premium_type,premium_indicators,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking,data_quality_score,validation_issues,is_valid
3 BHK Builder Floor for Sale in Sector 88A Gurgaon,2.40 Cr,1300 sqft,https://www.magicbricks.com/rof-pravasa-sector-88a-gurgaon-pdpid-4d4235343330303431,1,1,2025-08-13 10:20:02.063674,Updated today,2025-08-13 12:00:00.000000,True,premium,['text_premium'],3,3,3 BHK,Semi-Furnished,3 out of 4,,ROF Pravasa,,East,"1 Covered,",Freehold,Resale,"Garden/Park, Pool, Main Road",104.5,[],True
9 BHK Villa for Sale in Sushant Lok 1 Block E Gurgaon,4.83 Cr,376 sqyrd,,1,2,2025-08-13 10:20:02.067436,Posted: Today,2025-08-13 12:00:00.000000,True,preferred,['text_preferred'],10,,9 BHK,Semi-Furnished,,,,,,,,Resale,,68.2,[],True
9 BHK House for Sale in Sushant Lok 1 Block E Gurgaon,4.03 Cr,375 sqyrd,https://www.magicbricks.com/ansal-sushant-lok-i-sushant-lok-1-block-e-gurgaon-pdpid-4d4235323836303037,1,3,2025-08-13 10:20:02.068588,Posted: Today,2025-08-13 12:00:00.000000,True,luxury,['text_luxury'],10,,9 BHK,Furnished,,,Ansal Sushant Lok I,Ready to Move,,,,Resale,,81.8,[],True
5 BHK House for Sale in Sushant Lok 1 Block E Gurgaon,1.93 Cr,1620 sqft,,1,4,2025-08-13 10:20:02.071081,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],5,,5 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
3 BHK Builder Floor for Sale in Sushant Lok 1 Block E Gurgaon,1.36 Cr,2300 sqft,,1,5,2025-08-13 10:20:02.073994,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,3 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
5 BHK Apartment for Sale in Sector 49 Gurgaon,95.1 Lac,2650 sqft,,1,6,2025-08-13 10:20:02.076767,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],5,,5 BHK,Unfurnished,,,,,,,,Resale,,59.1,[],True
3 BHK Builder Floor for Sale in Sector 49 Gurgaon,97.8 Lac,1650 sqft,https://www.magicbricks.com/southend-floors-sector-49-gurgaon-pdpid-4d4235303130343331,1,7,2025-08-13 10:20:02.078581,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,3 BHK,Semi-Furnished,Super Area1650 sqftStatusReady to MoveTransactionResaleFurnishingSemi-FurnishedSocietySouthend FloorsBathroom3,,Southend Floors,Ready to Move,,,,Resale,,77.3,[],True
2 BHK Apartment for Sale in Sector 104 Gurgaon,85 Lac,683 sqft,https://www.magicbricks.com/hero-homes-sector-104-gurgaon-pdpid-4d4235313139323831,1,8,2025-08-13 10:20:02.080302,Updated today,2025-08-13 12:00:00.000000,True,premium,['text_premium'],2,3,2 BHK,Unfurnished,7 out of 35,,Hero Homes,Ready to Move,East,,Freehold,New Property,Garden/Park,104.5,[],True
3 BHK Apartment for Sale in Sector 69 Gurgaon,2.30 Cr,1200 sqft,https://www.magicbricks.com/tulip-yellow-sector-69-gurgaon-pdpid-4d4235313330303431,1,9,2025-08-13 10:20:02.082040,Updated today,2025-08-13 12:00:00.000000,True,premium,['text_premium'],3,3,3 BHK,Unfurnished,13 out of 26,,Tulip Yellow,,East,,Freehold,Resale,,95.5,[],True
2 BHK Apartment for Sale in Sector 33 Sohna Gurgaon,1.50 Cr,1385 sqft,,1,10,2025-08-13 10:20:02.085404,Updated today,2025-08-13 12:00:00.000000,False,standard,[],2,3,2 BHK,Semi-Furnished,15 out of 22,,,,East,,Freehold,Resale,"Pool, Garden/Park",81.8,[],True
3 BHK Apartment for Sale in Sector 70A Gurgaon,2.90 Cr,1830 sqft,https://www.magicbricks.com/paras-irene-sector-70a-gurgaon-pdpid-4d4235303139373534,1,11,2025-08-13 10:20:02.086851,Updated today,2025-08-13 12:00:00.000000,True,premium,['text_premium'],2,4,3 BHK,Semi-Furnished,6 out of 15,,Paras Irene,Ready to Move,,2 Covered,Freehold,Resale,,100.0,[],True
3 BHK Builder Floor for Sale in Phase 1 DLF Gurgaon,71.1 Lac,1200 sqft,,1,12,2025-08-13 10:20:02.090753,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,3 BHK,Furnished,,,,,,,,Resale,,59.1,[],True
3 BHK Builder Floor for Sale in Phase 1 DLF Gurgaon,1.06 Cr,1800 sqft,,1,13,2025-08-13 10:20:02.094088,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,3 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
Plot/Land for Sale in Sector 33 Gurgaon,10.8 Lac,648 sqft,,1,14,2025-08-13 10:20:02.096125,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],,,Plot,,,,,,,,,Resale,,50.0,[],True
1 BHK Builder Floor for Sale in Sector 6 Gurgaon,21.3 Lac,360 sqft,,1,15,2025-08-13 10:20:02.098720,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],1,,1 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
Plot/Land for Sale in Sector 6 Gurgaon,6.7 Lac,400 sqft,,1,16,2025-08-13 10:20:02.101411,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],,,Plot,,,,,,,,,Resale,,50.0,[],True
2 BHK Apartment for Sale in Sector 35 Gurgaon,53.8 Lac,1500 sqft,,1,17,2025-08-13 10:20:02.103915,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],2,,2 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
"3 BHK Builder Floor for Sale in Carterpuri Village / Sector 23A-Block-F, Sector 23 Gurgaon",6.5 Lac,110 sqft,,1,18,2025-08-13 10:20:02.106599,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],2,,3 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
"2 BHK House for Sale in Carterpuri Village / Sector 23A-Block-F, Sector 23 Gurgaon",20.9 Lac,100 sqft,,1,19,2025-08-13 10:20:02.108843,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],1,,2 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
"Plot/Land for Sale in Rampura, Sector 78 Gurgaon",1.18 Cr,7130 sqft,,1,20,2025-08-13 10:20:02.110673,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],,,Plot,,,,,,,,,Resale,,50.0,[],True
"2 BHK Apartment for Sale in Rampura, Sector 78 Gurgaon",59 Lac,1244 sqft,https://www.magicbricks.com/umang-monsoon-breeze-rampura-gurgaon-pdpid-4d4235303137303135,1,21,2025-08-13 10:20:02.111757,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],2,,2 BHK,Semi-Furnished,,,Umang Monsoon Breeze,Ready to Move,,,,Resale,,72.7,[],True
"2 BHK Apartment for Sale in Chakkarpur, Sector 28 Gurgaon",32.3 Lac,100 sqyrd,https://www.magicbricks.com/maruti-vihar-colony-chakkarpur-gurgaon-pdpid-4d4235303736393331,1,22,2025-08-13 10:20:02.112818,Posted: Today,2025-08-13 12:00:00.000000,True,premium,['text_premium'],2,,2 BHK,Unfurnished,,,Maruti Vihar Colony,Ready to Move,,,,Resale,,81.8,[],True
"1 BHK Apartment for Sale in Chakkarpur, Sector 28 Gurgaon",32.7 Lac,800 sqft,https://www.magicbricks.com/maruti-vihar-colony-chakkarpur-gurgaon-pdpid-4d4235303736393331,1,23,2025-08-13 10:20:02.113895,Posted: Today,2025-08-13 12:00:00.000000,True,premium,['text_premium'],1,,1 BHK,Semi-Furnished,,,Maruti Vihar Colony,Ready to Move,,,,Resale,,81.8,[],True
"2 BHK Builder Floor for Sale in Chakkarpur, Sector 28 Gurgaon",58.7 Lac,90 sqyrd,https://www.magicbricks.com/maruti-vihar-colony-chakkarpur-gurgaon-pdpid-4d4235303736393331,1,24,2025-08-13 10:20:02.114997,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],2,,2 BHK,Semi-Furnished,,,Maruti Vihar Colony,Ready to Move,,,,Resale,,72.7,[],True
Plot/Land for Sale in Kadarpur Gurgaon,3.3 Lac,200 sqft,,1,25,2025-08-13 10:20:02.116911,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],,,Plot,,,,,,,,,Resale,,50.0,[],True
4 BHK Builder Floor for Sale in Block Q South City 1 Gurgaon,1.42 Cr,2400 sqft,,1,26,2025-08-13 10:20:02.119515,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],4,,4 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
4 BHK House for Sale in Block Q South City 1 Gurgaon,64.6 Lac,60 sqyrd,,1,27,2025-08-13 10:20:02.122049,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,4 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
4 BHK Builder Floor for Sale in Block Q South City 1 Gurgaon,1.30 Cr,Resale,,1,28,2025-08-13 10:20:02.124240,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],5,,4 BHK,Unfurnished,,,,,,,,Resale,,59.1,[],True
4 BHK House for Sale in Block Q South City 1 Gurgaon,64.6 Lac,60 sqyrd,,1,29,2025-08-13 10:20:02.126545,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],4,,4 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
4 BHK House for Sale in Block Q South City 1 Gurgaon,64.6 Lac,60 sqyrd,,1,30,2025-08-13 10:20:02.128816,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],4,,4 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
6 BHK House for Sale in Pratap Nagar Gurgaon,1.29 Cr,120 sqyrd,,2,1,2025-08-13 10:20:07.592369,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],5,,6 BHK,Semi-Furnished,,,,,,,,Resale,,59.1,[],True
6 BHK House for Sale in Pratap Nagar Gurgaon,3 Cr,2514 sqft,,2,2,2025-08-13 10:20:07.594666,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],4,,6 BHK,Unfurnished,,,,,,,,Resale,,59.1,[],True
