title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date
1 BHK Apartment for Sale in Naigaon East Mumbai,₹40 Lac,368 sqft,https://www.magicbricks.com/vencel-enclave-naigaon-east-mumbai-pdpid-4d4235323038313739,1,3,2025-08-10 13:55:18.662820,,
2 BHK Apartment for Sale in Naigaon East Mumbai,₹45 Lac,750 sqft,https://www.magicbricks.com/mittal-enclave-naigaon-east-mumbai-pdpid-4d4235303338323535,1,4,2025-08-10 13:55:18.663477,,
1 BHK Apartment for Sale in Kurla West Mumbai,₹1.02 Cr,715 sqft,https://www.magicbricks.com/premier-residences-kurla-west-mumbai-pdpid-4d4235303330323032,1,5,2025-08-10 13:55:18.664053,,
1 BHK Apartment for Sale in Parel Mumbai,₹94 Lac,269 sqft,https://www.magicbricks.com/shree-dutta-tower-parel-mumbai-pdpid-4d4235303633333431,1,6,2025-08-10 13:55:18.664916,,
2 BHK Apartment for Sale in Chembur Mumbai,₹1.75 Cr,650 sqft,https://www.magicbricks.com/vani-apartment-chembur-mumbai-pdpid-4d4235303739323031,1,8,2025-08-10 13:55:18.666579,,
1 BHK Apartment for Sale in Vasai Mumbai,₹40 Lac,610 sqft,https://www.magicbricks.com/evershine-city-vasai-mumbai-pdpid-4d4235303330363935,1,9,2025-08-10 13:55:18.667098,"2+ PhotosPosted:   YesterdayOwner: Ahmed Shaikh1 BHK Apartment for Sale in Vasai MumbaiEvershine CitySuper Area610 sqftStatusReady to MoveFloor5 out of 7TransactionResaleFurnishingFurnishedSocietyEvershine CityOwnershipFreeholdBathroom1Near Masjid₹40 Lac ₹6,557 per sqft Contact Owner Get Phone No. ",2025-08-09 12:00:00.000000
1 BHK Apartment for Sale in Powai Mumbai,₹1.90 Cr,390 sqft,https://www.magicbricks.com/hiranandani-highland-powai-mumbai-pdpid-4d4235333139313139,1,10,2025-08-10 13:55:18.667668,,
1 BHK Apartment for Sale in Vatsalabai Naik Nagar Mumbai,₹42 Lac,270 sqft,https://www.magicbricks.com/mass-metropolis-vatsalabai-naik-nagar-mumbai-pdpid-4d4235313030333331,1,13,2025-08-10 13:55:18.669679,,
2 BHK Apartment for Sale in Kanjurmarg East Mumbai,₹1.50 Cr,625 sqft,https://www.magicbricks.com/rna-ng-royal-park-kanjurmarg-east-mumbai-pdpid-4d4235303138393332,1,15,2025-08-10 13:55:18.670864,"18+ PhotosUpdated 11 hours ago Owner: kanayalal2 BHK Apartment for Sale in Kanjurmarg East MumbaiRNA NG Royal ParkCarpet Area625 sqftStatusReady to MoveFloor5 out of 15TransactionResaleFurnishingUnfurnishedfacingEastoverlookingGarden/ParkSocietyRNA NG Royal ParkOwnershipFreeholdBathroom2East Facing Property5 minutes walking distance from Kanjurmarg station and 2 minutes away from Metro stationRead more₹1.50 Cr ₹15,740 per sqft Contact Owner Get Phone No. ",2025-08-10 02:55:18.670833
2 BHK Apartment for Sale in Matunga East Mumbai,₹2.15 Cr,430 sqft,https://www.magicbricks.com/hubtown-harmony-matunga-east-mumbai-pdpid-4d4235303630383431,1,17,2025-08-10 13:55:18.672074,"8+ PhotosUpdated 11 hours ago Owner: prakash2 BHK Apartment for Sale in Matunga East MumbaiHubtown HarmonyCarpet Area430 sqftStatusReady to MoveFloor4 out of 17TransactionResaleFurnishingUnfurnishedSocietyHubtown HarmonyBathroom2Balcony12 BHK, Multistorey Apartment is available for Sale in Matunga East, Mumbai for 2.1 Crore(s)Read more₹2.15 Cr ₹27,922 per sqft Contact Owner Get Phone No. ",2025-08-10 02:55:18.672050
2 BHK Apartment for Sale in Girgaon Mumbai,₹3.90 Cr,810 sqft,https://www.magicbricks.com/vijay-chambers-girgaon-mumbai-pdpid-4d4235343032373031,1,18,2025-08-10 13:55:18.672622,"10+ PhotosUpdated 11 hours ago Owner: Nirav Shah2 BHK Apartment for Sale in Girgaon MumbaiVijay ChambersCarpet Area810 sqftStatusReady to MoveFloor6 out of 11TransactionResaleFurnishingFurnishedfacingNorthoverlookingMain RoadSocietyVijay ChambersOwnershipFreeholdCar Parking2 OpenBathroom2Main road facing, centrally connected and adequate sunlight.₹3.90 Cr Contact Owner Get Phone No. ",2025-08-10 02:55:18.672607
2 BHK Apartment for Sale in Vile Parle West Mumbai,₹3.50 Cr,805 sqft,https://www.magicbricks.com/shankar-mahal-vile-parle-west-mumbai-pdpid-4d4235303638383838,1,19,2025-08-10 13:55:18.673182,"6+ PhotosUpdated 11 hours ago Owner: Nishit Shah2 BHK Apartment for Sale in Vile Parle West MumbaiShankar MahalCarpet Area805 sqftStatusReady to MoveFloor5 out of 7TransactionNew PropertyFurnishingSemi-FurnishedoverlookingMain RoadSocietyShankar MahalOwnershipCo-operative SocietyBathroom2Newly Constructed Property2 BHK, Multistorey Apartment is available for Sale in Vile Parle West, Mumbai for 3.5 Crore(s)Read more₹3.50 Cr ₹33,333 per sqft Contact Owner Get Phone No. ",2025-08-10 02:55:18.673165
1 BHK Apartment for Sale in Chembur Mumbai,₹1.05 Cr,625 sqft,https://www.magicbricks.com/spenta-altavista-chembur-mumbai-pdpid-4d4235303733313932,1,22,2025-08-10 13:55:18.675030,"16+ PhotosUpdated 10 hours ago Owner: Navin1 BHK Apartment for Sale in Chembur MumbaiSpenta AltavistaSuper Area625 sqftStatusReady to MoveFloor6 out of 15TransactionResaleFurnishingUnfurnishedfacingEastoverlookingGarden/ParkSocietySpenta AltavistaOwnershipCo-operative SocietyBathroom1East Facing PropertyMultistorey apartment is available for sale. It covered area of 625 sq-ft, it is a good location property. Please contact for more details.Read more₹1.05 Cr ₹16,800 per sqft Contact Owner Get Phone No. ",2025-08-10 03:55:18.675007
