title,price,price_per_sqft,carpet_area,super_area,area,bedrooms,bathrooms,floor,age,furnishing,property_type,locality,society,builder,possession,parking,facing,amenities,description,agent_name,agent_contact,property_url,image_urls,latitude,longitude,posted_date,property_id
2 BHK Apartment for Sale in Sector 36 Sohna Gurgaon,₹1.96 Cr₹28121 per sqft,,,,697,2,,,,Unfurnished,2 BHK Apartment for Sale in Sector 36 Sohna Gurgaon,Sector 36 Sohna,,,,,,,,,,https://www.magicbricks.com/the-serenas-sohna-sector-36-gurgaon-pdpid-4d4235303937303833,https://img.staticmb.com/mbphoto/property/cropped_images/2025/Mar/16/Photo_h300_w450/78407597_7_PropertyImage178-2316938731414_300_450.jpg,,,,4235303937303833
2 BHK Apartment for Sale in Gwal Pahari Gurgaon,₹1.42 Cr₹12566 per sqft,,,,975,2,,2,,Semi Furnished,2 BHK Apartment for Sale in Gwal Pahari Gurgaon,Gwal Pahari,,,,,,,,,,https://www.magicbricks.com/suncity-vatsal-valley-gwal-pahari-gurgaon-pdpid-4d4235333331343031,https://img.staticmb.com/mbphoto/property/cropped_images/2025/Feb/18/Photo_h300_w450/77084909_6_PropertyImage1739890287223_300_450.jpg,,,,4235333331343031
3 BHK Apartment for Sale in Sector 111 Gurgaon,₹3.30 Cr₹15207 per sqft,,,,1550,3,4,28,,Semi Furnished,3 BHK Apartment for Sale in Sector 111 Gurgaon,Sector 111,,,,,,,,,,https://www.magicbricks.com/m3m-crown-phase-1-sector-111-gurgaon-pdpid-4d4235333933333337,,,,,4235333933333337
4 BHK Apartment for Sale in Sector 108 Gurgaon,₹4.80 Cr₹19810 per sqft,,,,2423,4,4,24,,Unfurnished,4 BHK Apartment for Sale in Sector 108 Gurgaon,Sector 108,,,,,,,,,,https://www.magicbricks.com/sobha-city-sector-108-gurgaon-pdpid-4d4235303836323234,,,,,4235303836323234
1 BHK Apartment for Sale in Sector 93 Gurgaon,₹59 Lac₹9233 per sqft,,,,543,1,,15,,,1 BHK Apartment for Sale in Sector 93 Gurgaon,Sector 93,,,,,,,,,,https://www.magicbricks.com/signature-global-city-93-sector-93-gurgaon-pdpid-4d4235333933373231,,,,,4235333933373231
3 BHK Apartment for Sale in Sector 102 Gurgaon,₹2.15 Cr₹12655 per sqft,,,,1569,3,,15,,Semi Furnished,3 BHK Apartment for Sale in Sector 102 Gurgaon,Sector 102,,,,,,,,,,https://www.magicbricks.com/adani-m2k-oyster-grande-sector-102-gurgaon-pdpid-4d4235303836323032,,,,,4235303836323032
3 BHK Apartment for Sale in Sector 36 Sohna Gurgaon,₹1.30 Cr₹12026 per sqft,,,,1081,3,,,,Unfurnished,3 BHK Apartment for Sale in Sector 36 Sohna Gurgaon,Sector 36 Sohna,,,,,,,,,,https://www.magicbricks.com/signature-global-park-4-and-5-sohna-sector-36-gurgaon-pdpid-4d4235323036343435,,,,,4235323036343435
3 BHK Apartment for Sale in Sector 36A Gurgaon,₹5.30 Cr₹20990 per sqft,,,,1800,3,,,,Semi Furnished,3 BHK Apartment for Sale in Sector 36A Gurgaon,Sector 36A,,,,,,,,,,https://www.magicbricks.com/krisumi-waterside-residences-sector-36a-gurgaon-pdpid-4d4235343231343833,,,,,4235343231343833
3 BHK Apartment for Sale in Sector 109 Gurgaon,₹3.10 Cr₹14797 per sqft,,,,2095,3,,,,Semi Furnished,3 BHK Apartment for Sale in Sector 109 Gurgaon,Sector 109,,,,,,,,,,https://www.magicbricks.com/ats-kocoon-sector-109-gurgaon-pdpid-4d4235303233353339,,,,,4235303233353339
4 BHK Apartment for Sale in Sector 52 Gurgaon,₹3.25 Cr₹15258 per sqft,,,,2015,4,,,,Unfurnished,4 BHK Apartment for Sale in Sector 52 Gurgaon,Sector 52,,,,,,,,,,https://www.magicbricks.com/green-homes-sector-52-gurgaon-pdpid-4d4235313730353839,,,,,4235313730353839
4 BHK Apartment for Sale in Sector 48 Gurgaon,₹3.09 Cr₹16306 per sqft,,,,1610,4,,,,Semi Furnished,4 BHK Apartment for Sale in Sector 48 Gurgaon,Sector 48,,,,,,,,,,https://www.magicbricks.com/vipul-greens-sector-48-gurgaon-pdpid-4d4235303030333036,,,,,4235303030333036
3 BHK Apartment for Sale in Sector 104 Gurgaon,₹2.50 Cr₹18396 per sqft,,,,1359,3,,,,Unfurnished,3 BHK Apartment for Sale in Sector 104 Gurgaon,Sector 104,,,,,,,,,,https://www.magicbricks.com/hero-homes-sector-104-gurgaon-pdpid-4d4235313139323831,,,,,4235313139323831
"2 BHK Apartment for Sale in Sector 95A, Pataudi Road Gurgaon",₹82 Lac₹12538 per sqft,,,,654,2,,,,Semi Furnished,"2 BHK Apartment for Sale in Sector 95A, Pataudi Road Gurgaon",,,,,,,,,,,https://www.magicbricks.com/signature-the-roselia-sector-95a-gurgaon-pdpid-4d4235303937303835,,,,,4235303937303835
2 BHK House for Sale in Sector 67 Gurgaon,₹30 Lac₹60000 per sqft,,,,50,2,,,,Unfurnished,2 BHK House for Sale in Sector 67 Gurgaon,Sector 67,,,,,,,,,,https://www.magicbricks.com/maruti-kunj-sector-67-gurgaon-pdpid-4d4235313731383237,,,,,4235313731383237
4 BHK House for Sale in Sector 109 Gurgaon,₹8.50 Cr₹24286 per sqft,,,,1500,4,,,,Semi Furnished,4 BHK House for Sale in Sector 109 Gurgaon,Sector 109,,,,,,,,,,https://www.magicbricks.com/sobha-international-city-sector-109-gurgaon-pdpid-4d4235303130343136,,,,,4235303130343136
2 BHK Apartment for Sale in Sector 33 Sohna Gurgaon,₹1.65 Cr₹11913 per sqft,,,,1385,2,,10,,Semi Furnished,2 BHK Apartment for Sale in Sector 33 Sohna Gurgaon,Sector 33 Sohna,,,,,,,,,,https://www.magicbricks.com/godrej-nature-plus-sohna-sector-33-gurgaon-pdpid-4d4235313132333731,,,,,4235313132333731
2 BHK Apartment for Sale in Sector 103 Gurgaon,₹3.50 Cr₹21090 per sqft,,,,1660,2,,28,,Unfurnished,2 BHK Apartment for Sale in Sector 103 Gurgaon,Sector 103,,,,,,,,,,https://www.magicbricks.com/godrej-vrikshya-sector-103-gurgaon-pdpid-4d4235343232353835,,,,,4235343232353835
"3 BHK Builder Floor for Sale in Sector 37D, Delhi Gurgaon Expressway Gurgaon","₹1.80 Cr₹12,500 per sqft",,,,1000,3,,,,Semi Furnished,"3 BHK Builder Floor for Sale in Sector 37D, Delhi Gurgaon Expressway Gurgaon",,,,,,,,,,,https://www.magicbricks.com/signature-global-city-37d-sector-37d-gurgaon-pdpid-4d4235323933343339,https://img.staticmb.com/mbphoto/property/cropped_images/2025/May/08/Photo_h300_w450/79183307_3_PropertyImage1746685370214_300_450.jpg,,,,4235323933343339
